cycle,mode,tick_long_tripsmode
323,trip_ter,nil
323,trip_taxi,nil
324,trip_tgv,nil
324,trip_ter,nil
324,trip_taxi,nil
325,trip_tgv,nil
325,trip_ter,nil
325,trip_taxi,nil
326,trip_tgv,nil
326,trip_ter,nil
326,trip_taxi,nil
327,trip_tgv,nil
327,trip_ter,nil
327,trip_taxi,nil
328,trip_tgv,nil
328,trip_ter,nil
328,trip_taxi,nil
329,trip_tgv,nil
329,trip_ter,nil
329,trip_taxi,nil
330,trip_tgv,nil
330,trip_ter,nil
330,trip_taxi,nil
331,trip_tgv,nil
331,trip_ter,nil
331,trip_taxi,nil
332,trip_tgv,nil
332,trip_ter,nil
332,trip_taxi,nil
333,trip_tgv,nil
333,trip_ter,nil
333,trip_taxi,nil
334,trip_tgv,nil
334,trip_ter,nil
334,trip_taxi,nil
335,trip_tgv,nil
335,trip_ter,nil
335,trip_taxi,nil
336,trip_tgv,nil
336,trip_ter,nil
336,trip_taxi,nil
337,trip_tgv,nil
337,trip_ter,nil
337,trip_taxi,nil
338,trip_tgv,nil
338,trip_ter,nil
338,trip_taxi,nil
339,trip_tgv,nil
339,trip_ter,nil
339,trip_taxi,nil
340,trip_tgv,nil
340,trip_ter,nil
340,trip_taxi,nil
341,trip_tgv,nil
341,trip_ter,nil
341,trip_taxi,nil
342,trip_tgv,nil
342,trip_ter,nil
342,trip_taxi,nil
343,trip_tgv,nil
343,trip_ter,nil
343,trip_taxi,nil
344,trip_tgv,nil
344,trip_ter,nil
344,trip_taxi,nil
345,trip_tgv,nil
345,trip_ter,nil
345,trip_taxi,nil
346,trip_tgv,nil
346,trip_ter,nil
346,trip_taxi,nil
347,trip_tgv,nil
347,trip_ter,nil
347,trip_taxi,nil
348,trip_tgv,nil
348,trip_ter,nil
348,trip_taxi,nil
349,trip_tgv,nil
349,trip_ter,nil
349,trip_taxi,nil
350,trip_tgv,nil
350,trip_ter,nil
350,trip_taxi,nil
351,trip_tgv,nil
351,trip_ter,nil
351,trip_taxi,nil
352,trip_tgv,nil
352,trip_ter,nil
352,trip_taxi,nil
353,trip_tgv,nil
353,trip_ter,nil
353,trip_taxi,nil
354,trip_tgv,nil
354,trip_ter,nil
354,trip_taxi,nil
355,trip_tgv,nil
355,trip_ter,nil
355,trip_taxi,nil
356,trip_tgv,nil
356,trip_ter,nil
356,trip_taxi,nil
357,trip_tgv,nil
357,trip_ter,nil
357,trip_taxi,nil
358,trip_tgv,nil
358,trip_ter,nil
358,trip_taxi,nil
359,trip_tgv,nil
359,trip_ter,nil
359,trip_taxi,nil
360,trip_tgv,nil
360,trip_ter,nil
360,trip_taxi,nil
361,trip_tgv,nil
361,trip_ter,nil
361,trip_taxi,nil
362,trip_tgv,nil
362,trip_ter,nil
362,trip_taxi,nil
363,trip_tgv,nil
363,trip_ter,nil
363,trip_taxi,nil
364,trip_tgv,nil
364,trip_ter,nil
364,trip_taxi,nil
365,trip_tgv,nil
365,trip_ter,nil
365,trip_taxi,nil
366,trip_tgv,nil
366,trip_ter,nil
366,trip_taxi,nil
367,trip_tgv,nil
367,trip_ter,nil
367,trip_taxi,nil
368,trip_tgv,nil
368,trip_ter,nil
368,trip_taxi,nil
369,trip_tgv,nil
369,trip_ter,nil
369,trip_taxi,nil
370,trip_tgv,nil
370,trip_ter,nil
370,trip_taxi,nil
371,trip_tgv,nil
371,trip_ter,nil
371,trip_taxi,nil
372,trip_tgv,nil
372,trip_ter,nil
372,trip_taxi,nil
373,trip_tgv,nil
373,trip_ter,nil
373,trip_taxi,nil
374,trip_tgv,nil
374,trip_ter,nil
374,trip_taxi,nil
375,trip_tgv,nil
375,trip_ter,nil
375,trip_taxi,nil
376,trip_tgv,nil
376,trip_ter,nil
376,trip_taxi,nil
377,trip_tgv,nil
377,trip_ter,nil
377,trip_taxi,nil
378,trip_tgv,nil
378,trip_ter,nil
378,trip_taxi,nil
379,trip_tgv,nil
379,trip_ter,nil
379,trip_taxi,nil
380,trip_tgv,nil
380,trip_ter,nil
380,trip_taxi,nil
381,trip_tgv,nil
